to_address,finish_time,NetProfitSum,ProfitSum,txCnt
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,2021/9/17,7.99E+18,8.57E+18,58
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,2021/9/20,2.90E+18,5.12E+18,108
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,2021/9/17,2.85E+18,5.06E+18,79
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,2021/9/21,2.25E+18,2.91E+18,58
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,2021/9/17,2.13E+18,1.30E+19,116
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,2021/9/20,2.12E+18,2.92E+18,73
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,2021/9/16,1.97E+18,3.88E+18,86
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,2021/9/20,1.88E+18,1.10E+19,159
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,2021/9/19,1.60E+18,1.23E+19,123
0x55eb58655f8202FF839487886FEDBa2a1Eb7b2d7,2021/9/17,1.39E+18,1.50E+19,78
