to_address,NetProfitSum,ProfitSum,txCnt
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,1.6169051154238872e+19,2.0117532951892476e+19,413
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,9.50289785981374e+18,6.4969604472935236e+19,967
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,5.547322069802021e+18,1.6956915969916793e+19,499
0x55eb58655f8202FF839487886FEDBa2a1Eb7b2d7,3.962407725863292e+18,4.041693365785541e+19,443
0x0000000000d41C96294CCdaC8612Bdfe29C641aF,3.667546213697789e+18,4.7007218145366335e+19,460
0x000000B46a83732BDa366917C4c6477EeFE840D7,2.708762761810242e+18,6.78896710111142e+18,48
0x00000000003b3cc22aF3aE1EAc0440BcEe416B40,2.3171318030003456e+18,2.0088115281184043e+19,186
0x000000000035B5e5ad9019092C665357240f594e,2.2446034321749304e+18,1.2192820361082952e+19,226
0x01A1527A5127F721a4c9Ff955C93f6FAEF2f6DEB,1.554021549355029e+18,2.3642182313879937e+19,573
0x7777777580290ceDe6E2121B846023fa1a1e4978,1.4004992347666703e+18,2.2337225978317226e+19,621
