to_address,finish_time,NetProfitSum,ProfitSum,txCnt
0x28f1eCd0E9303dd864DDa1f8F60959E5B1a9089e,2021-09-17,6.4239921688937095e+19,7.951853203439654e+19,7
0x8ff42FD8f5fe291f02E276A0b0Aa8243f2fE311d,2021-09-21,3.859941834160996e+19,3.8793607084286484e+19,1
0xbF1C2c17CC77e7Dec3466B96F46f93c09f02aB07,2021-09-17,2.903003038398694e+19,2.9040410005296e+19,1
0xbF1C2c17CC77e7Dec3466B96F46f93c09f02aB07,2021-09-18,2.8437003287553663e+19,2.8443358157839e+19,1
0xbF1C2c17CC77e7Dec3466B96F46f93c09f02aB07,2021-09-16,1.750480642695898e+19,1.7535250142311e+19,1
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,2021-09-17,7.989339269360963e+18,8.567882498734473e+18,58
0xbF1C2c17CC77e7Dec3466B96F46f93c09f02aB07,2021-09-21,3.8192055008633354e+18,3.845048639194e+18,1
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,2021-09-20,2.896211023166713e+18,5.123455051389303e+18,108
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,2021-09-17,2.845999449866026e+18,5.060235782845317e+18,79
0x0000000089341e263B85D84A0Eea39f47C37A9d2,2021-09-20,2.520415612393345e+18,3.018618129463568e+18,8
0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,2021-09-15,2.269182738609894e+18,2.327437875551183e+18,4
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,2021-09-21,2.248481364649626e+18,2.9097175230765727e+18,58
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,2021-09-17,2.1346396486764803e+18,1.2950464774311369e+19,116
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,2021-09-20,2.12091117069515e+18,2.918428518513522e+18,73
0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,2021-09-18,2.091591510179942e+18,2.152596752581387e+18,4
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,2021-09-16,1.9723112860555003e+18,3.877801240020654e+18,86
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,2021-09-20,1.8790210864577316e+18,1.1014294559384058e+19,159
0x28f1eCd0E9303dd864DDa1f8F60959E5B1a9089e,2021-09-18,1.7268073660581993e+18,1.8170866789728136e+18,1
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,2021-09-19,1.6026366389920517e+18,1.2329790331718418e+19,123
0x3D71d79C224998E608d03C5Ec9B405E7a38505F0,2021-09-16,1.4938604398346598e+18,1.516879078163323e+18,2
0x55eb58655f8202FF839487886FEDBa2a1Eb7b2d7,2021-09-17,1.3888780493953539e+18,1.5032034842751797e+19,78
0x0000000000007F150Bd6f54c40A34d7C3d5e9f56,2021-09-15,1.3782618128165983e+18,1.1058788908532074e+19,147
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,2021-09-15,1.1913427023428575e+18,2.7365834086613304e+18,70
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,2021-09-15,1.1719284457693568e+18,1.69472940987757e+18,69
0xc040aFA5D1C50b8970EcECfb3fDfaEc2Fe44F9E5,2021-09-21,1.1497305491292426e+18,2.7723843310862653e+18,57
0x58418d6c83EfAB01ed78b0AC42E55af01eE77DbA,2021-09-16,1.1400567635995629e+18,1.7934428679084915e+18,62
0x000000B46a83732BDa366917C4c6477EeFE840D7,2021-09-17,1.1017405036362666e+18,2.6552722487948744e+18,18
0x8FE7d9643077b4aB2885cB2dAD4236cc4784413F,2021-09-16,1.0872427160718826e+18,2.901525995192536e+18,134
0x2A8F327085d733a3DBa191B3647818415A84Ff28,2021-09-17,1.0532078280676585e+18,1.138113613766217e+18,3
