,block_num,fb_min,nfb_max,exist_high_priority,high_priority_account
0,13398245.0,10345489987153.0,7622489987153.0,0.0,
1,13398252.0,36427601930.0,7405254171809.0,1.0,"['0x735dd2831e161d7d962eb39458004d26174ac616e9fbd760fc4379ffdfbafff6', '0x7801dcb0703948a228a8aa7d0abb3ea9c97101f0451af11727c55b08fc4af885', '0x80b567d7413ea993e7ac807423a96cd0477729e23f8b10329d8afaa32884e31d']"
2,13398254.0,13241138944.086279,1748818355082.0,1.0,"['0xe6e791e425269ef7b25073fe9970b28e29ed150454c3afdb011b78b0bf5a3538', '0xe05329698211746a2bf8c08a7a790c164d67726fc9d6dc9a1b77638a67d66eca', '0x98fa5b209b637026fb6cd7ae10e2d936fe6df35d9690178eeb911f7637c1dcff', '0x324379362a8947fb593d494524734327c123e649eae0013687b6b44948e66d9f', '0xe395741470d40c5e326b052db781fce2f398c7c04852c1d0852177a7e9657310', '0x6b4592e07398503451752b1cf77683b7a162c04d654e5040ff3968d4e093b15f', '0x84f848d32b640e5a805c512ebc2d88cedfc150210787c3ecd209ef9503e19966']"
3,13398255.0,61883059927.028824,364017590706.0,1.0,"['0x671a386ee01333b3c378b584ad8d473161ebd0b959e9758182b744c9ebd3414c', '0x744dfdb4315172bd07e775ef303bf4e7bc51549871fc8562fde291ca3c873043', '0xa795b7ea1959e035f1361d7b909a443a7830d8e3aeb1fa89d45757fd3e06df89']"
4,13398256.0,79556384317.0,1728084993281.0,1.0,"['0x8cab0da406481b7b311730dd6b34be9c2b87aeccfc5e48f539b70a49a9ad5e06', '0xbd4dd3304640e67959c3bd1824850dc3e6bd4e50c1ce8b1396f6014d0bffdd71', '0x2d82bb642211377536c63a0ac6b7aec26906dc013002a828affe44e483a4bce8', '0x7632eb35d37d00e94f7c723c5ac3d03de3413430bed6968746a84cf818b5f81c', '0x46d9e53aa1e804500b0c21f1e8af46b05626915ee4e1bd144f486eb5b4b6b1e0', '0x7d57357f5426b5d27814f6d1424a0a1fb38c4f7fb60d18feea1591e3cef776dd', '0xdca61aa425377f6cbb7acba1cc8a0ac7c86da5ad6b2b805e8b967755e39993eb', '0x7aa4e03642e4be4cccf378d2a9725a0ac659aa9437b1659cbe27facac420a9a0']"
5,13398257.0,861129813910.6525,800000000000.0,0.0,
6,13398260.0,824490134900.0,225810975123.0,0.0,
7,13398262.0,302.0,3156382049364.0,1.0,"['0xed9d327c363bac9aa1b4ef92dc6caac595245b6ec294a641f694c195423f2995', '0x0f6d5f701ee9c26917204ab00ab08dc3f3f945e3edb7ba684391117871cecb99', '0xfaa2cc9291ab8250d745c88c63f06dcadc2a31bfeb853ca536f4c38d5ebe4dfa', '0xe49cbc316985440ee249bfdde053cbd5a2ee9b9dbc1b339965f43da59e811d54', '0xa24c19d10721e6230ede828e9a3ee03685f830f9e5ecb811c11d942b9e0cdce7', '0xffb7533a6f3a9e2bd269b06f1cca919076c7a449f1353c2db666c4e7d2c72175']"
8,13398263.0,44644197182.0,127146900264.0,1.0,"['0xe353d2255ad965fab3b67ab06618fa7b6cfcd1323a3c14da9929cedd785dc3dd', '0x0a4cc62b3821c60e92e04e30afb1bdf6c5b4faaa6e0d1ef5e404af094d16c824', '0x391b5177b0ceb362baf01f3a440de9133e4faa9fa965ce5c78181730d7fd5ae8']"
9,13398265.0,1529294838.6863308,152000000000.0,1.0,"['0x89a7ec7c8a9299955a87cf8245fd65b172777a92b8c32d87978c1d4d4eae3667', '0x1504d42e87ce21c0797cd826fe2ed370c1c848c461866fccfe27d06f8ede793e', '0x608a804659ebd994fea13bc43b6a4e79108c0703b1fead78836469c7090a8c95', '0xfa35f55bdbf0e0014e21e1427769252e322e8b46234a6f1369cd2ab6997c06b9']"
10,13398266.0,27354234308.0,202535642443.0,1.0,['0x934d9a1ff784e8bfa1f78d426911c6cbccd95b2af78025bd3f85af309c45de09']
